Time Interval,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14,Edge 15,Edge 16,Edge 17,Edge 18,Edge 19
2024-06-04 08:15:00 - 2024-06-04 08:20:00,85,55,41,9,13,0,36,39,16,15,23,11,18,10,8,16,21,8,42
2024-06-04 08:20:00 - 2024-06-04 08:25:00,82,49,52,13,21,0,35,52,30,14,18,13,25,17,4,17,13,7,32
2024-06-04 08:25:00 - 2024-06-04 08:30:00,102,67,53,10,13,0,25,45,25,21,28,16,16,6,7,11,27,6,24
2024-06-04 08:30:00 - 2024-06-04 08:35:00,84,57,37,6,23,0,29,41,40,20,24,12,14,17,4,9,32,5,31
2024-06-04 08:35:00 - 2024-06-04 08:40:00,103,72,53,6,16,0,29,49,32,15,26,20,17,12,11,6,25,6,32
2024-06-04 08:40:00 - 2024-06-04 08:45:00,60,36,46,9,13,0,21,45,34,10,16,10,15,13,6,7,17,5,32
2024-06-04 08:45:00 - 2024-06-04 08:50:00,101,63,48,13,15,0,33,43,33,12,20,15,18,9,8,17,29,9,34
2024-06-04 08:50:00 - 2024-06-04 08:55:00,65,40,47,9,14,0,28,43,39,19,21,15,17,10,2,8,37,4,34
2024-06-04 08:55:00 - 2024-06-04 09:00:00,96,64,45,9,23,0,22,38,33,22,25,13,8,5,3,14,26,6,28
2024-06-04 09:00:00 - 2024-06-04 09:05:00,73,45,38,11,18,0,27,36,29,13,15,11,23,9,2,12,26,5,40
2024-06-04 09:05:00 - 2024-06-04 09:10:00,77,51,30,7,23,0,26,33,25,22,26,11,18,14,4,13,23,6,29
2024-06-04 09:10:00 - 2024-06-04 09:15:00,52,36,34,3,17,0,30,33,27,13,19,16,11,9,6,10,25,6,36
2024-06-04 09:15:00 - 2024-06-04 09:20:00,51,33,26,6,9,0,27,30,23,10,21,9,17,14,11,14,23,9,36
2024-06-04 09:20:00 - 2024-06-04 09:25:00,61,41,20,6,19,0,22,24,32,15,21,8,23,11,6,13,21,7,31
2024-06-04 09:25:00 - 2024-06-04 09:30:00,77,50,38,9,20,0,29,37,26,14,26,14,17,11,12,17,26,10,35
2024-06-04 09:30:00 - 2024-06-04 09:35:00,58,36,32,9,14,0,16,37,27,22,28,11,21,17,6,14,34,7,28
2024-06-04 09:35:00 - 2024-06-04 09:40:00,82,51,27,12,23,0,22,33,32,19,26,13,11,16,7,8,30,5,37
2024-06-04 09:40:00 - 2024-06-04 09:45:00,64,37,38,12,11,0,27,41,34,13,19,13,17,16,6,10,30,6,40
2024-06-04 09:45:00 - 2024-06-04 09:50:00,78,48,39,11,8,0,21,36,35,16,23,9,20,8,7,15,29,8,38
2024-06-04 09:50:00 - 2024-06-04 09:55:00,60,37,27,9,8,0,17,31,39,9,21,15,17,14,12,12,42,8,42
2024-06-04 09:55:00 - 2024-06-04 10:00:00,65,45,30,5,23,0,23,28,30,15,25,9,20,7,10,14,28,8,51
2024-06-04 10:00:00 - 2024-06-04 10:05:00,63,43,23,5,12,0,20,27,37,16,21,19,10,12,5,9,27,5,38
2024-06-04 10:05:00 - 2024-06-04 10:10:00,63,45,21,3,14,0,22,24,41,9,14,12,18,10,5,10,37,5,40
2024-06-04 10:10:00 - 2024-06-04 10:15:00,56,38,21,5,12,0,26,23,39,12,20,9,11,9,8,10,39,6,41
2024-06-04 10:15:00 - 2024-06-04 10:20:00,76,48,23,9,9,0,22,23,34,13,19,6,13,7,6,15,34,7,47
2024-06-04 10:20:00 - 2024-06-04 10:25:00,54,33,24,9,20,0,24,25,35,19,28,12,19,9,9,10,38,7,41
2024-06-04 10:25:00 - 2024-06-04 10:30:00,60,38,34,8,15,0,26,36,27,10,14,6,11,13,4,8,36,4,33
2024-06-04 10:30:00 - 2024-06-04 10:35:00,44,27,31,7,7,0,21,35,26,16,20,9,11,15,4,6,34,4,51
2024-06-04 10:35:00 - 2024-06-04 10:40:00,73,48,35,8,17,0,23,36,41,12,19,11,15,12,7,6,28,5,38
2024-06-04 10:40:00 - 2024-06-04 10:45:00,67,38,29,13,19,0,23,33,37,15,24,7,16,15,9,7,36,6,44
2024-06-04 10:45:00 - 2024-06-04 10:50:00,57,34,27,9,7,0,21,30,25,10,15,10,13,13,5,13,33,6,33
2024-06-04 10:50:00 - 2024-06-04 10:55:00,58,36,32,9,18,0,34,36,42,19,24,9,16,16,5,12,35,6,42
2024-06-04 10:55:00 - 2024-06-04 11:00:00,62,42,33,6,11,0,23,37,26,19,27,13,17,16,8,19,43,9,57
2024-06-04 11:00:00 - 2024-06-04 11:05:00,71,45,23,9,19,0,28,27,57,24,30,7,17,13,6,7,37,5,44
2024-06-04 11:05:00 - 2024-06-04 11:10:00,68,39,41,12,14,0,24,41,39,19,24,12,24,13,5,17,42,8,40
2024-06-04 11:10:00 - 2024-06-04 11:15:00,52,32,29,8,9,0,31,32,31,13,25,16,23,13,12,14,43,9,45
2024-06-04 11:15:00 - 2024-06-04 11:20:00,63,41,20,7,9,0,25,26,48,14,22,8,20,14,8,11,34,7,52
2024-06-04 11:20:00 - 2024-06-04 11:25:00,64,39,21,10,10,0,18,28,35,12,23,9,15,16,11,9,45,7,52
2024-06-04 11:25:00 - 2024-06-04 11:30:00,66,40,33,10,9,0,18,40,32,14,21,9,16,20,7,11,57,6,56
2024-06-04 11:30:00 - 2024-06-04 11:35:00,59,36,30,9,11,0,24,29,51,21,29,14,18,8,8,20,39,10,46
2024-06-04 11:35:00 - 2024-06-04 11:40:00,67,41,39,10,11,0,42,44,39,14,24,13,18,19,10,11,49,7,60
2024-06-04 11:40:00 - 2024-06-04 11:45:00,59,33,48,12,17,0,28,53,56,18,29,10,17,22,11,17,39,10,53
2024-06-04 11:45:00 - 2024-06-04 11:50:00,74,46,43,10,21,0,23,41,34,38,45,11,16,11,7,10,58,6,62
2024-06-04 11:50:00 - 2024-06-04 11:55:00,80,50,44,11,11,0,23,45,59,18,28,23,17,16,10,14,48,8,63
2024-06-04 11:55:00 - 2024-06-04 12:00:00,70,39,40,14,15,0,35,48,40,22,36,11,32,23,14,20,41,12,60
2024-06-04 12:00:00 - 2024-06-04 12:05:00,70,39,33,14,19,0,22,36,44,15,28,12,18,14,13,16,52,10,81
2024-06-04 12:05:00 - 2024-06-04 12:10:00,69,41,37,12,6,0,31,41,51,18,37,19,28,17,19,20,62,13,88
2024-06-04 12:10:00 - 2024-06-04 12:15:00,68,38,44,14,13,0,25,48,43,16,22,4,20,20,6,14,42,7,66
2024-06-04 12:15:00 - 2024-06-04 12:20:00,78,49,35,10,22,0,17,39,39,28,35,7,18,16,7,9,48,6,74
2024-06-04 12:20:00 - 2024-06-04 12:25:00,81,54,41,8,23,0,32,42,57,25,34,16,23,14,9,19,49,10,56
2024-06-04 12:25:00 - 2024-06-04 12:30:00,94,55,24,16,16,0,27,24,50,26,33,9,23,7,7,18,57,9,62
2024-06-04 12:30:00 - 2024-06-04 12:35:00,46,33,34,3,12,0,33,36,33,30,42,20,24,14,12,18,48,10,61
2024-06-04 12:35:00 - 2024-06-04 12:40:00,69,49,33,3,14,0,21,41,48,18,25,15,14,21,7,8,53,5,62
2024-06-04 12:40:00 - 2024-06-04 12:45:00,74,46,31,10,16,0,37,37,41,16,30,9,22,18,14,30,47,15,65
2024-06-04 12:45:00 - 2024-06-04 12:50:00,87,56,37,10,16,0,24,37,41,26,33,15,26,12,7,26,59,11,56
2024-06-04 12:50:00 - 2024-06-04 12:55:00,75,45,34,12,20,0,30,42,64,21,37,17,30,21,16,13,39,10,50
2024-06-04 12:55:00 - 2024-06-04 13:00:00,81,50,32,12,18,0,31,34,44,20,30,14,25,13,10,25,51,12,53
2024-06-04 13:00:00 - 2024-06-04 13:05:00,72,47,42,8,18,0,31,45,42,19,31,14,23,17,12,18,60,10,55
2024-06-04 13:05:00 - 2024-06-04 13:10:00,90,57,44,11,19,0,29,44,46,22,35,14,37,14,13,21,52,12,65
2024-06-04 13:10:00 - 2024-06-04 13:15:00,69,45,39,7,13,0,32,41,47,22,33,17,21,15,11,16,45,9,67
2024-06-04 13:15:00 - 2024-06-04 13:20:00,84,53,36,11,10,0,24,39,44,22,38,17,26,16,16,8,47,8,63
2024-06-04 13:20:00 - 2024-06-04 13:25:00,70,42,27,11,23,0,33,34,33,25,35,15,21,18,10,16,51,9,63
2024-06-04 13:25:00 - 2024-06-04 13:30:00,63,36,35,12,24,0,24,34,40,26,35,17,23,10,9,22,35,11,58
2024-06-04 13:30:00 - 2024-06-04 13:35:00,61,35,35,12,13,0,22,31,39,24,39,18,18,6,15,8,40,8,59
2024-06-04 13:35:00 - 2024-06-04 13:40:00,60,37,41,9,12,0,21,42,37,23,30,4,20,14,7,18,39,9,52
2024-06-04 13:40:00 - 2024-06-04 13:45:00,73,41,26,15,16,0,27,33,33,31,39,7,20,17,8,10,39,6,45
2024-06-04 13:45:00 - 2024-06-04 13:50:00,90,57,35,11,15,0,25,44,52,16,21,20,22,23,5,14,61,7,66
2024-06-04 13:50:00 - 2024-06-04 13:55:00,58,36,27,8,9,0,25,33,65,29,35,7,18,16,6,13,45,7,58
2024-06-04 13:55:00 - 2024-06-04 14:00:00,73,43,30,12,6,0,27,31,39,16,25,12,26,11,9,16,58,9,59
2024-06-04 14:00:00 - 2024-06-04 14:05:00,66,39,27,12,15,0,22,33,40,19,28,17,15,16,9,8,59,6,45
2024-06-04 14:05:00 - 2024-06-04 14:10:00,70,47,23,6,19,0,23,29,37,13,18,7,16,15,5,7,45,4,67
2024-06-04 14:10:00 - 2024-06-04 14:15:00,48,28,26,9,17,0,26,33,29,21,29,9,11,18,8,8,41,6,56
2024-06-04 14:15:00 - 2024-06-04 14:20:00,83,51,29,12,9,0,31,25,41,15,23,14,27,4,8,19,40,9,43
2024-06-04 14:20:00 - 2024-06-04 14:25:00,52,32,34,8,10,0,20,35,41,18,28,6,10,12,10,11,52,7,64
2024-06-04 14:25:00 - 2024-06-04 14:30:00,85,48,49,17,17,0,29,50,33,16,28,7,14,17,12,9,35,7,51
2024-06-04 14:30:00 - 2024-06-04 14:35:00,69,39,38,14,17,0,15,39,44,22,31,8,14,14,9,8,48,6,51
2024-06-04 14:35:00 - 2024-06-04 14:40:00,88,54,30,13,13,0,32,34,44,17,27,9,28,15,10,11,56,7,62
2024-06-04 14:40:00 - 2024-06-04 14:45:00,63,39,23,9,16,0,16,28,38,10,16,13,20,14,6,13,46,7,72
2024-06-04 14:45:00 - 2024-06-04 14:50:00,65,39,33,10,9,0,23,28,39,17,25,10,10,4,8,10,40,6,51
2024-06-04 14:50:00 - 2024-06-04 14:55:00,48,25,27,12,7,0,27,27,28,14,21,9,25,8,7,10,41,6,58
2024-06-04 14:55:00 - 2024-06-04 15:00:00,60,42,25,3,9,0,24,25,40,11,22,8,23,8,11,6,46,6,55
2024-06-04 15:00:00 - 2024-06-04 15:05:00,79,52,22,8,10,0,35,24,52,14,22,13,30,10,8,9,56,6,71
2024-06-04 15:05:00 - 2024-06-04 15:10:00,69,42,32,10,13,0,25,36,31,18,28,10,21,16,10,11,41,7,68
2024-06-04 15:10:00 - 2024-06-04 15:15:00,81,49,32,12,19,0,39,32,46,24,35,8,28,10,11,19,32,10,55
2024-06-04 15:15:00 - 2024-06-04 15:20:00,84,51,28,12,7,0,27,29,53,22,30,7,17,10,8,6,58,5,53
2024-06-04 15:20:00 - 2024-06-04 15:25:00,55,33,31,9,14,0,24,30,47,23,30,9,19,9,7,11,49,6,58
2024-06-04 15:25:00 - 2024-06-04 15:30:00,88,57,31,9,12,0,22,30,37,17,21,13,21,8,4,13,39,6,61
2024-06-04 15:30:00 - 2024-06-04 15:35:00,51,32,31,7,13,0,28,34,40,22,30,15,21,14,8,15,49,8,53
2024-06-04 15:35:00 - 2024-06-04 15:40:00,79,48,37,12,13,0,33,35,44,15,20,16,25,9,5,17,60,8,56
2024-06-04 15:40:00 - 2024-06-04 15:45:00,55,34,33,8,9,0,39,34,28,25,36,11,18,12,11,16,39,9,61
2024-06-04 15:45:00 - 2024-06-04 15:50:00,70,43,30,10,12,0,26,36,33,18,25,8,25,18,7,13,39,7,56
2024-06-04 15:50:00 - 2024-06-04 15:55:00,61,34,43,12,3,0,24,42,46,20,28,13,27,13,8,19,43,9,65
2024-06-04 15:55:00 - 2024-06-04 16:00:00,89,55,52,12,15,0,22,53,41,19,25,9,22,18,6,17,58,8,54
2024-06-04 16:00:00 - 2024-06-04 16:05:00,85,50,41,15,8,0,39,42,52,18,27,11,28,15,9,17,49,9,71
2024-06-04 16:05:00 - 2024-06-04 16:10:00,99,60,42,15,11,0,33,41,58,18,24,9,27,12,6,18,42,8,82
2024-06-04 16:10:00 - 2024-06-04 16:15:00,72,42,30,13,17,0,42,33,51,19,32,10,42,14,13,22,53,12,78
2024-06-04 16:15:00 - 2024-06-04 16:20:00,90,54,35,14,7,0,32,39,39,24,32,17,23,16,8,11,76,7,81
2024-06-04 16:20:00 - 2024-06-04 16:25:00,73,44,32,12,15,0,33,36,44,22,30,13,22,15,8,17,54,9,80
2024-06-04 16:25:00 - 2024-06-04 16:30:00,120,75,43,16,8,0,37,42,63,20,30,15,29,12,10,15,71,9,99
2024-06-04 16:30:00 - 2024-06-04 16:35:00,89,52,60,15,17,0,43,60,56,21,26,17,39,20,5,23,56,10,126
2024-06-04 16:35:00 - 2024-06-04 16:40:00,123,68,65,25,24,0,57,59,56,34,44,17,50,13,10,36,80,16,102
2024-06-04 16:40:00 - 2024-06-04 16:45:00,109,63,86,20,23,0,41,81,63,25,35,15,41,22,10,29,72,13,105
2024-06-04 16:45:00 - 2024-06-04 16:50:00,124,76,72,18,13,0,45,71,66,26,34,14,35,22,8,32,69,14,113
2024-06-04 16:50:00 - 2024-06-04 16:55:00,121,64,72,27,14,0,52,66,78,21,35,12,24,15,14,31,86,15,105
2024-06-04 16:55:00 - 2024-06-04 17:00:00,136,79,65,24,12,0,52,65,63,27,35,14,33,21,8,17,74,9,122
2024-06-04 17:00:00 - 2024-06-04 17:05:00,102,58,57,19,9,0,26,54,57,17,21,7,35,15,4,16,45,7,71
2024-06-04 17:05:00 - 2024-06-04 17:10:00,98,56,49,18,6,0,33,47,56,8,16,5,21,13,8,16,76,8,66
2024-06-04 17:10:00 - 2024-06-04 17:15:00,88,51,45,15,3,0,22,42,49,5,10,7,15,10,5,12,59,6,69
2024-06-04 17:15:00 - 2024-06-04 17:20:00,75,42,40,15,7,0,26,37,62,14,19,7,22,9,5,12,43,6,65
2024-06-04 17:20:00 - 2024-06-04 17:25:00,66,37,49,13,5,0,23,49,39,8,16,5,23,16,8,12,79,7,61
2024-06-04 17:25:00 - 2024-06-04 17:30:00,65,39,35,10,6,0,17,34,31,5,9,1,16,10,4,19,45,8,63
2024-06-04 17:30:00 - 2024-06-04 17:35:00,60,33,47,12,3,0,21,42,29,14,17,10,13,8,3,11,37,5,48
2024-06-04 17:35:00 - 2024-06-04 17:40:00,76,45,46,12,4,0,20,42,50,10,16,12,18,9,6,11,47,6,59
2024-06-04 17:40:00 - 2024-06-04 17:45:00,81,46,48,15,5,0,23,46,36,18,28,8,22,13,10,11,45,7,69
2024-06-04 17:45:00 - 2024-06-04 17:50:00,85,45,40,19,8,0,28,38,50,18,24,7,19,10,6,12,51,6,68
2024-06-04 17:50:00 - 2024-06-04 17:55:00,75,42,36,15,7,0,30,37,36,17,31,8,34,13,14,23,49,13,54
2024-06-04 17:55:00 - 2024-06-04 18:00:00,78,48,31,12,12,0,32,33,36,13,19,5,20,12,6,12,54,6,69
2024-06-05 06:00:00 - 2024-06-05 06:05:00,15,10,3,2,0,0,7,3,3,1,2,3,1,0,1,3,3,2,1
2024-06-05 06:05:00 - 2024-06-05 06:10:00,15,10,3,2,2,0,7,3,4,2,3,1,3,0,1,0,5,1,7
2024-06-05 06:10:00 - 2024-06-05 06:15:00,7,4,1,2,2,0,5,1,1,0,1,0,9,0,1,6,2,3,5
2024-06-05 06:15:00 - 2024-06-05 06:20:00,12,8,7,2,1,0,3,6,3,2,3,1,9,0,1,5,3,2,7
2024-06-05 06:20:00 - 2024-06-05 06:25:00,19,14,5,1,2,0,7,4,3,2,3,2,7,0,1,7,1,3,4
2024-06-05 06:25:00 - 2024-06-05 06:30:00,34,23,4,3,2,0,10,6,13,3,4,5,4,4,1,2,10,1,15
2024-06-05 06:30:00 - 2024-06-05 06:35:00,27,15,9,6,0,0,6,10,10,2,4,0,7,4,2,6,10,3,14
2024-06-05 06:35:00 - 2024-06-05 06:40:00,22,15,9,2,7,0,5,8,6,5,6,1,8,1,1,5,4,2,21
2024-06-05 06:40:00 - 2024-06-05 06:45:00,39,24,12,6,5,0,11,11,10,4,7,7,12,2,3,8,11,4,14
2024-06-05 06:45:00 - 2024-06-05 06:50:00,43,29,18,4,3,0,14,15,18,4,6,1,8,2,2,6,13,3,25
2024-06-05 06:50:00 - 2024-06-05 06:55:00,46,30,12,6,13,0,13,15,13,10,16,4,11,7,6,12,12,6,26
2024-06-05 06:55:00 - 2024-06-05 07:00:00,53,35,21,6,8,0,18,21,27,11,13,6,12,7,2,8,20,4,42
2024-06-05 07:00:00 - 2024-06-05 07:05:00,48,33,22,4,3,0,18,22,18,8,11,8,15,7,3,10,24,5,38
2024-06-05 07:05:00 - 2024-06-05 07:10:00,44,27,14,6,3,0,13,15,27,3,9,6,12,5,6,5,18,4,59
2024-06-05 07:10:00 - 2024-06-05 07:15:00,51,33,23,6,5,0,13,21,21,7,9,4,13,5,2,8,15,4,61
2024-06-05 07:15:00 - 2024-06-05 07:20:00,72,47,24,8,12,0,26,24,28,5,8,8,17,7,3,11,28,5,54
2024-06-05 07:20:00 - 2024-06-05 07:25:00,54,36,33,5,7,0,25,36,29,9,11,6,24,15,2,10,30,4,76
2024-06-05 07:25:00 - 2024-06-05 07:30:00,61,43,32,3,9,0,16,35,30,12,14,5,17,14,2,13,26,5,64
2024-06-05 07:30:00 - 2024-06-05 07:35:00,54,34,35,7,6,0,21,32,21,11,17,8,18,7,6,14,27,7,57
2024-06-05 07:35:00 - 2024-06-05 07:40:00,71,48,31,6,13,0,28,31,31,12,16,7,30,10,4,13,24,6,71
2024-06-05 07:40:00 - 2024-06-05 07:45:00,74,51,49,5,14,0,32,45,31,14,17,13,28,10,3,16,40,7,57
2024-06-05 07:45:00 - 2024-06-05 07:50:00,80,51,46,9,12,0,19,43,26,8,10,9,15,11,2,14,20,6,57
2024-06-05 07:50:00 - 2024-06-05 07:55:00,65,41,35,9,8,0,28,36,32,10,14,5,19,13,4,12,33,6,52
2024-06-05 07:55:00 - 2024-06-05 08:00:00,96,66,41,7,19,0,37,43,22,12,20,8,19,16,8,16,24,8,34
2024-06-05 08:00:00 - 2024-06-05 08:05:00,78,48,50,11,20,0,22,48,40,13,16,6,18,13,3,11,35,5,30
2024-06-05 08:05:00 - 2024-06-05 08:10:00,84,60,33,4,17,0,27,35,33,17,19,9,13,13,2,6,25,3,41
2024-06-05 08:10:00 - 2024-06-05 08:15:00,80,51,39,10,14,0,28,38,34,19,26,10,17,11,7,10,17,6,24
2024-06-05 08:15:00 - 2024-06-05 08:20:00,98,69,47,6,20,0,39,43,23,15,23,4,27,10,8,14,31,8,40
2024-06-05 08:20:00 - 2024-06-05 08:25:00,83,54,46,9,17,0,26,48,39,19,25,9,20,17,6,12,31,6,37
2024-06-05 08:25:00 - 2024-06-05 08:30:00,104,69,53,10,21,0,32,46,31,16,28,9,24,8,12,15,25,9,36
2024-06-05 08:30:00 - 2024-06-05 08:35:00,77,45,40,14,25,0,24,41,29,20,24,8,21,14,4,15,19,7,23
2024-06-05 08:35:00 - 2024-06-05 08:40:00,87,60,48,6,19,0,21,42,26,14,21,14,18,7,7,15,28,8,26
2024-06-05 08:40:00 - 2024-06-05 08:45:00,81,45,34,17,16,0,22,34,38,15,16,13,15,11,1,13,30,5,31
2024-06-05 08:45:00 - 2024-06-05 08:50:00,89,55,48,12,17,0,19,44,28,17,26,10,12,10,9,7,30,6,31
2024-06-05 08:50:00 - 2024-06-05 08:55:00,79,46,39,14,17,0,22,39,31,16,19,15,7,12,3,8,23,4,28
2024-06-05 08:55:00 - 2024-06-05 09:00:00,84,53,46,11,15,0,35,49,37,17,22,14,13,19,5,16,35,7,33
2024-06-05 09:00:00 - 2024-06-05 09:05:00,56,36,48,7,17,0,30,54,27,12,20,19,30,23,8,18,27,9,43
2024-06-05 09:05:00 - 2024-06-05 09:10:00,78,48,26,12,15,0,24,33,34,10,17,12,16,17,7,9,20,6,26
2024-06-05 09:10:00 - 2024-06-05 09:15:00,61,39,29,8,16,0,21,30,41,19,27,11,8,11,8,9,32,6,40
2024-06-05 09:15:00 - 2024-06-05 09:20:00,62,44,24,3,16,0,29,24,31,14,17,7,8,8,3,8,42,4,31
2024-06-05 09:20:00 - 2024-06-05 09:25:00,52,28,28,12,15,0,18,29,22,20,29,9,14,10,9,15,21,8,24
2024-06-05 09:25:00 - 2024-06-05 09:30:00,57,38,32,6,8,0,16,30,33,11,15,4,11,8,4,13,32,6,31
2024-06-05 09:30:00 - 2024-06-05 09:35:00,57,37,27,6,9,0,27,28,26,7,13,12,14,10,6,13,26,7,33
2024-06-05 09:35:00 - 2024-06-05 09:40:00,55,33,32,9,13,0,20,29,26,11,15,11,13,6,4,14,21,6,32
2024-06-05 09:40:00 - 2024-06-05 09:45:00,51,32,30,7,9,0,22,29,38,15,20,9,11,8,5,11,31,6,44
2024-06-05 09:45:00 - 2024-06-05 09:50:00,62,42,25,5,9,0,15,27,22,7,13,8,14,10,6,10,27,6,27
2024-06-05 09:50:00 - 2024-06-05 09:55:00,66,40,28,10,19,0,19,33,38,17,25,12,8,16,8,4,32,4,41
2024-06-05 09:55:00 - 2024-06-05 10:00:00,65,45,24,5,22,0,24,27,38,13,19,9,10,11,6,6,44,4,56
2024-06-05 10:00:00 - 2024-06-05 10:05:00,61,41,28,6,15,0,20,31,37,15,24,12,11,13,9,8,38,6,44
2024-06-05 10:05:00 - 2024-06-05 10:10:00,59,36,27,9,13,0,19,28,31,13,20,14,7,10,7,11,32,6,32
2024-06-05 10:10:00 - 2024-06-05 10:15:00,50,33,25,6,11,0,19,30,31,12,19,6,13,14,7,8,27,5,36
